# This is a continuation of trace file C:\!WorkingDirectory\1C_Sam_Rab\Project\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-18 23:04:41.452
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:37.488 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Using previously stored enterprise platform installation to launch client: installation=FixedRuntimeResolvable [installation=com._1c.g5.v8.dt.platform.services.model.impl.RuntimeInstallationImpl@22abd8a9 (uuid: a09523af-c1a1-4d97-92fa-e6c6f0d02e08, name: 1С:Предприятие 8.5.1.774, typeId: com._1c.g5.v8.dt.platform.services.core.runtimeType.EnterprisePlatform, version: 8.5.1, build: 774, location: file:///C:/Program%20Files%20(x86)/1cv8/8.5.1.774/bin/, training: false, arch: x86)], project=P/XML_Sklad_Integration, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@3f02095 (name: Информационная база, uuid: 371fa5e0-16b3-4a2a-becc-a46002bf80c0, external: false, orderInList: 16384.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.5, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null) |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:37.492 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:XML_Sklad_Integration, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@3f02095 (name: Информационная база, uuid: 371fa5e0-16b3-4a2a-becc-a46002bf80c0, external: false, orderInList: 16384.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.5, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0, requiresSynchronization=false] |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:37.492 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Reusing cached alive designer agent connection for infobase Информационная база |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.391 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Opening designer session: DesignerSessionInfobaseConnection [v8project=Configuration:XML_Sklad_Integration, infobase=com._1c.g5.v8.dt.platform.services.model.impl.InfobaseReferenceImpl@3f02095 (name: Информационная база, uuid: 371fa5e0-16b3-4a2a-becc-a46002bf80c0, external: false, orderInList: 16384.0, orderInTree: 0.0) (useProxy: NotUse, proxyServer: null, proxyPort: null, proxyUser: null, proxyPassword: null, clientConnectionSpeed: SelectAtStartup, authentication: PermitOsAuthentication, webserverAuthentication: PermitOsAuthentication, clientType: Auto, appArch: Auto, defaultClientType: Auto, version: 8.5, defaultVersion: null, webCommonInfoBaseUrl: null, additionalParameters: null, developmentServer: null, httpsCaCertificate: None, httpsClientCertificate: None, httpsClientCertificateFile: null, httpsClientCertificateSelectType: Recent, httpsClientNssPath: null, httpsClientNssCertificateName: null, httpsCaCertificateFile: null, showInList: false, updateUrl: null, mobilePublicKey: null), ][baseDirectory=C:\Users\ramwsh\AppData\Local\Temp\1cedt\ssh-54139\0, requiresSynchronization=false] |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.394 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Reusing cached alive designer agent connection for infobase Информационная база |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.794 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Loading 8 configuration objects to infobase Информационная база configuration |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.795 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Reusing alive cached designer agent connection for infobase Информационная база from the pool |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.796 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Going to check if there are changes in infobase before loading configuration to it |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.796 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Exporting changes to platform XML: [com._1c.g5.v8.dt.metadata.mdclass.impl.ConfigurationImpl@32db37db, com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogFormImpl@b15d885c, com._1c.g5.v8.dt.bsl.model.impl.ModuleImpl@4feb2e28 (eProxyURI: platform:/resource/XML_Sklad_Integration/src/CommonModules/МодульСкладыКлиент/Module.bsl#/0), com._1c.g5.v8.dt.metadata.mdclass.impl.DocumentImpl@f8c9f25, com._1c.g5.v8.dt.metadata.mdclass.impl.DocumentFormImpl@884624f, com._1c.g5.v8.dt.bsl.model.impl.ModuleImpl@de9e5452 (eProxyURI: platform:/resource/XML_Sklad_Integration/src/CommonModules/МодульСкладыВызовСервера/Module.bsl#/0), com._1c.g5.v8.dt.bsl.model.impl.ModuleImpl@944a8e8 (eProxyURI: platform:/resource/XML_Sklad_Integration/src/Catalogs/Склады/ObjectModule.bsl#/0), com._1c.g5.v8.dt.metadata.mdclass.impl.CatalogImpl@135d1eb] |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.796 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Zip XML export format is used |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.796 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Running com._1c.g5.v8.dt.internal.export.ExportOperation@6c2258b3 |
| Worker-80: Запуск XML_Sklad_Integration Толстый клиент | 2025-09-18 23:07:38.808 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/load | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 223 | Computing platform XML files paths... |
